"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"867";"15";"0"
"868";"14";"1"
"869";"14";"1"
"870";"15";"0"
"871";"15";"0"
"872";"15";"0"
"873";"15";"0"
"874";"15";"0"
"875";"15";"0"
"876";"15";"0"
"877";"15";"0"
"878";"15";"0"
"879";"15";"0"
"880";"14";"2"
"881";"14";"1"
"882";"15";"0"
"883";"14";"1"
"884";"15";"0"
"885";"15";"0"
"886";"14";"1"
"887";"14";"1"
"888";"15";"0"
"889";"14";"1"
"890";"14";"1"
"891";"15";"0"
"892";"15";"0"
"893";"15";"0"
"894";"15";"0"
"895";"15";"0"
"896";"15";"0"
"897";"15";"0"
"898";"15";"0"
"899";"15";"0"
"900";"15";"0"
"901";"15";"0"
"902";"15";"0"
"903";"15";"0"
"904";"15";"0"
"905";"15";"0"
"906";"15";"0"
"907";"15";"0"
"908";"15";"0"
"909";"15";"0"
"910";"15";"0"
"911";"15";"0"
"912";"15";"0"
"913";"15";"0"
"914";"15";"0"
"915";"15";"0"
"916";"15";"0"
"917";"15";"0"
"918";"15";"0"
"919";"15";"0"
"920";"15";"0"
"921";"15";"0"
"922";"15";"0"
"923";"15";"0"
"924";"15";"0"
"925";"15";"0"
"926";"15";"0"
"927";"15";"0"
"928";"15";"0"
"929";"15";"0"
"930";"15";"0"
"931";"15";"0"
"932";"15";"0"
"933";"15";"0"
"934";"15";"0"
"935";"15";"0"
"936";"15";"0"
"937";"15";"0"
"938";"15";"0"
"939";"15";"0"
"940";"14";"1"
"941";"14";"1"
"942";"14";"1"
"943";"14";"1"
"944";"14";"1"
"945";"14";"1"
"946";"15";"0"
"947";"14";"1"
"948";"15";"0"
"949";"15";"0"
"950";"15";"0"
"951";"15";"0"
"952";"15";"0"
"953";"15";"0"
"954";"15";"0"
"955";"15";"0"
"956";"15";"0"
"957";"15";"0"
"958";"15";"0"
"959";"15";"0"
"960";"15";"0"
"961";"15";"0"
"962";"15";"0"
"963";"15";"0"
"964";"15";"0"
"965";"15";"0"
"966";"15";"0"
"967";"15";"0"
"968";"15";"0"
"969";"15";"0"
"970";"15";"0"
"971";"15";"0"
"972";"15";"0"
"973";"15";"0"
"974";"15";"0"
"975";"15";"0"
"976";"14";"1"
"977";"14";"1"
"978";"15";"0"
"979";"14";"1"
"980";"14";"1"
"981";"15";"0"
"982";"14";"1"
"983";"14";"1"
"984";"15";"0"
"985";"15";"0"
"986";"15";"0"
"987";"15";"0"
"988";"15";"0"
"989";"15";"0"
"990";"15";"0"
"991";"15";"0"
"992";"15";"0"
"993";"15";"0"
"994";"15";"0"
"995";"15";"0"
"996";"15";"0"
"997";"15";"0"
"998";"15";"0"
"999";"15";"0"
"1000";"15";"0"
"1001";"15";"0"
"1002";"15";"0"
"1003";"15";"0"
"1004";"15";"0"
"1005";"15";"0"
"1006";"15";"0"
"1007";"15";"0"
"1008";"15";"0"
"1009";"15";"0"
"1010";"15";"0"
"1011";"13";"2"
"1012";"14";"1"
"1013";"15";"0"
"1014";"14";"1"
"1015";"15";"0"
"1016";"15";"0"
"1017";"14";"1"
"1018";"14";"1"
"1019";"15";"0"
"1020";"14";"1"
"1021";"14";"1"
"1022";"15";"0"
"1023";"15";"0"
"1024";"15";"0"
"1025";"15";"0"
"1026";"13";"2"
"1027";"15";"0"
"1028";"15";"0"
"1029";"15";"0"
"1030";"15";"0"
"1031";"15";"0"
"1032";"15";"0"
"1033";"15";"0"
"1034";"15";"0"
"1035";"15";"0"
"1036";"15";"0"
"1037";"15";"0"
"1038";"15";"0"
"1039";"15";"0"
"1040";"15";"0"
"1041";"15";"0"
"1042";"15";"0"
"1043";"15";"0"
"1044";"15";"0"
"1045";"14";"1"
"1046";"15";"0"
"1047";"15";"0"
"1048";"15";"0"
"1049";"15";"0"
"1050";"14";"1"
"1051";"14";"1"
"1052";"15";"0"
"1053";"15";"0"
"1054";"15";"0"
"1055";"15";"0"
"1056";"15";"0"
"1057";"15";"0"
"1058";"15";"0"
"1059";"15";"0"
"1060";"15";"0"
"1061";"15";"0"
"1062";"15";"0"
"1063";"15";"0"
"1064";"15";"0"
"1065";"15";"0"
"1066";"15";"0"
"1067";"15";"0"
"1068";"15";"0"
"1069";"15";"0"
"1070";"15";"0"
"1071";"15";"0"
"1072";"15";"0"
"1073";"15";"0"
"1074";"15";"0"
"1075";"15";"0"
"1076";"15";"0"
"1077";"15";"0"
"1078";"15";"0"
"1079";"15";"0"
"1080";"15";"0"
"1081";"15";"0"
"1082";"15";"0"
"1083";"15";"0"
"1084";"15";"0"
"1085";"15";"0"
"1086";"15";"0"
"1087";"15";"0"
"1088";"15";"0"
"1089";"15";"0"
"1090";"15";"0"
"1091";"15";"0"
"1092";"15";"0"
"1093";"15";"0"
"1094";"15";"0"
"1095";"15";"0"
"1096";"15";"0"
"1097";"15";"0"
"1098";"14";"1"
"1099";"14";"1"
"1100";"15";"0"
"1101";"14";"1"
"1102";"15";"0"
"1103";"15";"0"
"1104";"15";"0"
"1105";"15";"0"
"1106";"15";"0"
"1107";"15";"0"
"1108";"15";"0"
"1109";"15";"0"
"1110";"15";"0"
"1111";"15";"0"
"1112";"15";"0"
"1113";"15";"0"
"1114";"15";"0"
"1115";"15";"0"
"1116";"15";"0"
"1117";"15";"0"
"1118";"15";"0"
"1119";"14";"1"
"1120";"15";"0"
"1121";"15";"1"
"1122";"15";"1"
"1123";"15";"0"
"1124";"15";"0"
"1125";"15";"2"
"1126";"15";"1"
"1127";"15";"1"
"1128";"14";"2"
"1129";"14";"2"
"1130";"15";"1"
"1131";"13";"3"
"1132";"14";"2"
"1133";"15";"1"
"1134";"14";"3"
"1135";"14";"2"
"1136";"15";"1"
"1137";"14";"3"
"1138";"14";"2"
"1139";"14";"2"
"1140";"14";"1"
"1141";"14";"1"
"1142";"14";"1"
"1143";"14";"1"
"1144";"13";"2"
"1145";"13";"2"
"1146";"13";"2"
"1147";"13";"2"
"1148";"13";"2"
"1149";"13";"1"
"1150";"13";"1"
"1151";"13";"1"
"1152";"12";"2"
"1153";"12";"2"
"1154";"13";"1"
"1155";"13";"1"
"1156";"11";"3"
"1157";"13";"1"
"1158";"11";"3"
"1159";"10";"4"
"1160";"12";"2"
"1161";"12";"3"
"1162";"12";"2"
"1163";"12";"2"
"1164";"11";"2"
